Time,Channel A,Channel B
(s),(V),(V)

0.00000000,0.08822901,0.19510480
0.00666700,0.05291910,0.15952030
0.01333400,-0.17645800,0.15063940
0.02000100,0.00000000,0.15952030
0.02666800,-0.00881985,0.15063940
0.03333500,-0.01763970,0.14175850
0.04000200,-0.00881985,0.15952030
0.04666900,-0.00881985,0.15063940
0.05333600,-0.00881985,0.15063940
0.06000300,0.00000000,0.16843170
0.06667000,0.01763970,0.18622390
0.07333700,-0.00881985,0.16843170
0.08000400,0.00000000,0.18622390
0.08667100,-0.03527940,0.15063940
0.09333800,-0.03527940,0.15063940
0.10000500,-0.00881985,0.18622390
0.10667200,-0.01763970,0.17731250
0.11333900,-0.03527940,0.15952030
0.12000600,-0.00881985,0.18622390
0.12667300,-0.01763970,0.18622390
0.13334000,-0.03527940,0.17731250
0.14000700,-0.00881985,0.20398570
0.14667400,-0.01763970,0.19510480
0.15334099,-0.02645955,0.20398570
0.16000799,-0.01763970,0.22177800
0.16667499,-0.01763970,0.22177800
0.17334199,-0.03527940,0.21289710
0.18000899,-0.02645955,0.22177800
0.18667599,-0.04409925,0.20398570
0.19334299,-0.05291910,0.20398570
0.20000999,-0.01763970,0.23957030
0.20667699,-0.01763970,0.23957030
0.21334399,-0.04409925,0.21289710
0.22001099,-0.02645955,0.24845120
0.22667799,-0.03527940,0.23957030
0.23334499,-0.06173895,0.22177800
0.24001199,-0.03527940,0.26624350
0.24667899,-0.03527940,0.28403580
0.25334599,-0.05291910,0.25736260
0.26001299,-0.03527940,0.27512440
0.26667999,-0.04409925,0.27512440
0.27334699,-0.06173895,0.26624350
0.28001399,-0.04409925,0.29291670
0.28668099,-0.04409925,0.29291670
0.29334799,-0.06173895,0.28403580
0.30001499,-0.05291910,0.30182810
0.30668199,-0.06173895,0.29291670
0.31334899,-0.07058931,0.28403580
0.32001599,-0.04409925,0.31958980
0.32668299,-0.03527940,0.33738210
0.33334999,-0.07940916,0.30182810
0.34001699,-0.05291910,0.32850120
0.34668399,-0.07940916,0.31958980
0.35335099,-0.08822901,0.31070890
0.36001799,-0.06173895,0.34629350
0.36668499,-0.07058931,0.33738210
0.37335199,-0.07940916,0.32850120
0.38001899,-0.07058931,0.35517440
0.38668599,-0.07940916,0.34629350
0.39335299,-0.10586870,0.32850120
0.40001999,-0.07940916,0.35517440
0.40668699,-0.09704886,0.34629350
0.41335399,-0.10586870,0.34629350
0.42002099,-0.09704886,0.36405530
0.42668799,-0.10586870,0.35517440
0.43335499,-0.10586870,0.35517440
0.44002199,-0.11468860,0.35517440
0.44668898,-0.10586870,0.37296670
0.45335598,-0.14999850,0.32850120
0.46002298,-0.13232830,0.36405530
0.46668998,-0.13232830,0.37296670
0.47335698,-0.15881830,0.33738210
0.48002398,-0.14117860,0.37296670
0.48669098,-0.14999850,0.36405530
0.49335798,-0.17645800,0.34629350
0.50002498,-0.14999850,0.38184760
0.50669198,-0.14999850,0.38184760
0.51335898,-0.15881830,0.38184760
0.52002598,-0.14999850,0.39075900
0.52669298,-0.16763820,0.37296670
0.53335998,-0.17645800,0.38184760
0.54002698,-0.15881830,0.39963990
