Time,Channel A,Channel B
(s),(V),(V)

0.00000000,-0.22058780,0.18622390
0.01333400,-0.22058780,0.17731250
0.02666800,-0.33527630,0.35517440
0.04000200,-0.21176790,0.16843170
0.05333600,-0.20291760,0.17731250
0.06667000,-0.22940760,0.15063940
0.08000400,-0.21176790,0.16843170
0.09333800,-0.20291760,0.17731250
0.10667200,-0.22058780,0.15063940
0.12000600,-0.19409770,0.18622390
0.13334000,-0.22058780,0.15952030
0.14667400,-0.23822750,0.15063940
0.16000799,-0.21176790,0.17731250
0.17334199,-0.21176790,0.17731250
0.18667599,-0.22058780,0.16843170
0.20000999,-0.20291760,0.20398570
0.21334399,-0.21176790,0.20398570
0.22667799,-0.22940760,0.20398570
0.24001199,-0.22058780,0.23065890
0.25334599,-0.20291760,0.25736260
0.26667999,-0.20291760,0.23957030
0.28001399,-0.20291760,0.23065890
0.29334799,-0.21176790,0.22177800
0.30668199,-0.24704730,0.20398570
0.32001599,-0.22058780,0.22177800
0.33334999,-0.21176790,0.24845120
0.34668399,-0.22058780,0.24845120
0.36001799,-0.21176790,0.25736260
0.37335199,-0.21176790,0.25736260
0.38668599,-0.22940760,0.25736260
0.40001999,-0.22940760,0.25736260
0.41335399,-0.21176790,0.29291670
0.42668799,-0.21176790,0.29291670
0.44002199,-0.21176790,0.30182810
0.45335598,-0.20291760,0.31070890
0.46668998,-0.21176790,0.31958980
0.48002398,-0.22058780,0.30182810
0.49335798,-0.21176790,0.31958980
0.50669198,-0.22058780,0.31070890
0.52002598,-0.21176790,0.32850120
0.53335998,-0.19409770,0.35517440
0.54669398,-0.22058780,0.31958980
0.56002798,-0.17645800,0.36405530
0.57336198,-0.19409770,0.35517440
0.58669598,-0.22058780,0.32850120
0.60002998,-0.21176790,0.33738210
0.61336398,-0.18527790,0.36405530
0.62669798,-0.21176790,0.34629350
0.64003198,-0.21176790,0.35517440
0.65336598,-0.17645800,0.38184760
0.66669998,-0.20291760,0.35517440
0.68003398,-0.18527790,0.37296670
0.69336798,-0.17645800,0.39075900
0.70670198,-0.18527790,0.38184760
0.72003598,-0.17645800,0.39963990
0.73336998,-0.16763820,0.40852080
0.74670397,-0.18527790,0.39075900
0.76003797,-0.17645800,0.39963990
0.77337197,-0.15881830,0.42631310
0.78670597,-0.16763820,0.41743220
0.80003997,-0.15881830,0.42631310
0.81337397,-0.15881830,0.43519400
0.82670797,-0.16763820,0.43519400
0.84004197,-0.16763820,0.45298620
0.85337597,-0.14117860,0.50636310
0.86670997,-0.16763820,0.47965940
0.88004397,-0.16763820,0.47965940
0.89337797,-0.14117860,0.51524400
0.90671197,-0.15881830,0.49745170
0.92004597,-0.14117860,0.50636310
0.93337997,-0.14117860,0.52412490
0.94671397,-0.14117860,0.52412490
0.96004797,-0.14117860,0.51524400
0.97338197,-0.12350840,0.52412490
0.98671597,-0.14999850,0.50636310
1.00004997,-0.14117860,0.51524400
1.01338397,-0.11468860,0.53303630
1.02671797,-0.11468860,0.53303630
1.04005197,-0.10586870,0.53303630
1.05338596,-0.10586870,0.53303630
1.06671996,-0.14117860,0.50636310
1.08005396,-0.10586870,0.53303630
