Time,Channel A,Channel B
(s),(V),(V)

1.09338796,-0.14999850,0.28403580
1.10672196,-0.15881830,0.29291670
1.12005596,-0.16763820,0.30182810
1.13338996,-0.16763820,0.30182810
1.14672396,-0.14999850,0.32850120
1.16005796,-0.16763820,0.31958980
1.17339196,-0.16763820,0.31958980
1.18672596,-0.15881830,0.32850120
1.20005996,-0.17645800,0.31958980
1.21339396,-0.17645800,0.32850120
1.22672796,-0.14999850,0.34629350
1.24006196,-0.15881830,0.34629350
1.25339596,-0.17645800,0.32850120
1.26672996,-0.15881830,0.34629350
1.28006396,-0.18527790,0.32850120
1.29339796,-0.14999850,0.36405530
1.30673196,-0.17645800,0.33738210
1.32006596,-0.17645800,0.33738210
1.33339996,-0.15881830,0.35517440
1.34673395,-0.15881830,0.36405530
1.36006795,-0.18527790,0.33738210
1.37340195,-0.15881830,0.36405530
1.38673595,-0.16763820,0.36405530
1.40006995,-0.16763820,0.35517440
1.41340395,-0.17645800,0.35517440
1.42673795,-0.16763820,0.36405530
1.44007195,-0.18527790,0.35517440
1.45340595,-0.14999850,0.38184760
1.46673995,-0.15881830,0.37296670
1.48007395,-0.17645800,0.34629350
1.49340795,-0.17645800,0.35517440
1.50674195,-0.15881830,0.38184760
1.52007595,-0.17645800,0.36405530
1.53340995,-0.14117860,0.39075900
1.54674395,-0.15881830,0.37296670
1.56007795,-0.17645800,0.36405530
1.57341195,-0.17645800,0.37296670
1.58674595,-0.14999850,0.39963990
1.60007995,-0.17645800,0.37296670
1.61341395,-0.14999850,0.40852080
1.62674795,-0.14999850,0.41743220
1.64008194,-0.15881830,0.39963990
1.65341594,-0.15881830,0.39963990
1.66674994,-0.14999850,0.40852080
1.68008394,-0.17645800,0.39075900
1.69341794,-0.15881830,0.39963990
1.70675194,-0.14117860,0.42631310
1.72008594,-0.15881830,0.41743220
1.73341994,-0.14117860,0.43519400
1.74675394,-0.14117860,0.43519400
1.76008794,-0.15881830,0.41743220
1.77342194,-0.14999850,0.42631310
1.78675594,-0.14117860,0.43519400
1.80008994,-0.17645800,0.39963990
1.81342394,-0.15881830,0.41743220
1.82675794,-0.14117860,0.43519400
1.84009194,-0.15881830,0.42631310
1.85342594,-0.14117860,0.44410540
1.86675994,-0.14117860,0.45298620
1.88009394,-0.16763820,0.43519400
1.89342794,-0.15881830,0.44410540
1.90676194,-0.14117860,0.47077850
