Time,Channel A,Channel B
(s),(V),(V)

0.00000000,-0.25586720,0.31958980
0.01333400,-0.28235720,0.28403580
0.02666800,-0.27350690,0.30182810
0.04000200,-0.09704886,0.37296670
0.05333600,-0.27350690,0.30182810
0.06667000,-0.26468700,0.30182810
0.08000400,-0.26468700,0.30182810
0.09333800,-0.28235720,0.28403580
0.10667200,-0.26468700,0.29291670
0.12000600,-0.26468700,0.30182810
0.13334000,-0.28235720,0.27512440
0.14667400,-0.26468700,0.28403580
0.16000799,-0.24704730,0.29291670
0.17334199,-0.26468700,0.27512440
0.18667599,-0.26468700,0.27512440
0.20000999,-0.24704730,0.29291670
0.21334399,-0.25586720,0.27512440
0.22667799,-0.26468700,0.25736260
0.24001199,-0.22940760,0.29291670
0.25334599,-0.26468700,0.25736260
0.26667999,-0.23822750,0.27512440
0.28001399,-0.23822750,0.27512440
0.29334799,-0.24704730,0.25736260
0.30668199,-0.24704730,0.25736260
0.32001599,-0.22058780,0.27512440
0.33334999,-0.23822750,0.25736260
0.34668399,-0.22940760,0.25736260
0.36001799,-0.21176790,0.28403580
0.37335199,-0.23822750,0.24845120
0.38668599,-0.22058780,0.25736260
0.40001999,-0.21176790,0.27512440
0.41335399,-0.21176790,0.25736260
0.42668799,-0.22058780,0.23957030
0.44002199,-0.20291760,0.26624350
0.45335598,-0.21176790,0.25736260
0.46668998,-0.19409770,0.26624350
0.48002398,-0.17645800,0.26624350
0.49335798,-0.21176790,0.23957030
0.50669198,-0.18527790,0.28403580
0.52002598,-0.17645800,0.31070890
0.53335998,-0.18527790,0.31070890
0.54669398,-0.14999850,0.33738210
0.56002798,-0.14117860,0.35517440
0.57336198,-0.16763820,0.32850120
0.58669598,-0.12350840,0.36405530
0.60002998,-0.13232830,0.35517440
0.61336398,-0.12350840,0.35517440
0.62669798,-0.11468860,0.35517440
0.64003198,-0.09704886,0.35517440
0.65336598,-0.10586870,0.33738210
0.66669998,-0.08822901,0.35517440
0.68003398,-0.07940916,0.35517440
0.69336798,-0.10586870,0.32850120
0.70670198,-0.07058931,0.35517440
0.72003598,-0.05291910,0.36405530
0.73336998,-0.07058931,0.34629350
0.74670397,-0.07058931,0.33738210
0.76003797,-0.04409925,0.36405530
0.77337197,-0.07940916,0.32850120
0.78670597,-0.04409925,0.36405530
0.80003997,-0.03527940,0.36405530
0.81337397,-0.03527940,0.36405530
0.82670797,-0.05291910,0.34629350
0.84004197,-0.02645955,0.36405530
0.85337597,-0.04409925,0.35517440
0.86670997,-0.03527940,0.36405530
0.88004397,-0.01763970,0.37296670
0.89337797,-0.03527940,0.35517440
0.90671197,-0.03527940,0.36405530
0.92004597,-0.01763970,0.37296670
0.93337997,-0.01763970,0.36405530
0.94671397,-0.01763970,0.38184760
0.96004797,-0.00881985,0.38184760
0.97338197,-0.02645955,0.37296670
0.98671597,-0.02645955,0.37296670
1.00004997,-0.00881985,0.39963990
1.01338397,-0.01763970,0.38184760
1.02671797,-0.00881985,0.39963990
1.04005197,-0.00881985,0.39963990
1.05338596,-0.00881985,0.39963990
1.06671996,-0.01763970,0.39075900
1.08005396,-0.00881985,0.40852080
