Time,Channel A,Channel B
(s),(V),(V)

1.09338796,-0.03527940,0.36405530
1.10672196,0.00000000,0.39075900
1.12005596,-0.01763970,0.36405530
1.13338996,-0.02645955,0.36405530
1.14672396,-0.00881985,0.36405530
1.16005796,-0.00881985,0.36405530
1.17339196,-0.01763970,0.35517440
1.18672596,0.03527940,0.38184760
1.20005996,0.00000000,0.35517440
1.21339396,-0.00881985,0.34629350
1.22672796,0.00881985,0.36405530
1.24006196,0.00000000,0.34629350
1.25339596,-0.02645955,0.32850120
1.26672996,0.00000000,0.33738210
1.28006396,0.03527940,0.34629350
1.29339796,0.00881985,0.31958980
1.30673196,-0.03527940,0.31070890
1.32006596,0.00000000,0.31070890
1.33339996,-0.01763970,0.30182810
1.34673395,0.02645955,0.32850120
1.36006795,-0.06173895,0.29291670
1.37340195,-0.00881985,0.29291670
1.38673595,0.00000000,0.31070890
1.40006995,-0.04409925,0.29291670
1.41340395,-0.03527940,0.28403580
1.42673795,-0.00881985,0.30182810
1.44007195,-0.03527940,0.28403580
1.45340595,-0.02645955,0.28403580
1.46673995,0.00881985,0.29291670
1.48007395,-0.02645955,0.27512440
1.49340795,-0.03527940,0.27512440
1.50674195,0.01763970,0.29291670
1.52007595,0.03527940,0.29291670
1.53340995,-0.03527940,0.26624350
1.54674395,-0.01763970,0.28403580
1.56007795,-0.04409925,0.25736260
1.57341195,-0.05291910,0.24845120
1.58674595,-0.05291910,0.25736260
1.60007995,-0.04409925,0.24845120
1.61341395,-0.04409925,0.24845120
1.62674795,-0.04409925,0.25736260
1.64008194,-0.08822901,0.25736260
1.65341594,-0.04409925,0.29291670
1.66674994,0.00000000,0.28403580
1.68008394,0.01763970,0.27512440
1.69341794,-0.05291910,0.23957030
1.70675194,-0.00881985,0.27512440
1.72008594,-0.07940916,0.23065890
1.73341994,-0.05291910,0.23957030
1.74675394,-0.05291910,0.24845120
1.76008794,-0.04409925,0.24845120
1.77342194,-0.08822901,0.22177800
1.78675594,-0.01763970,0.27512440
1.80008994,-0.14117860,0.22177800
1.81342394,-0.11468860,0.23957030
1.82675794,-0.07058931,0.27512440
1.84009194,-0.09704886,0.26624350
1.85342594,-0.10586870,0.25736260
1.86675994,-0.09704886,0.24845120
1.88009394,-0.12350840,0.23957030
1.89342794,-0.08822901,0.24845120
1.90676194,-0.13232830,0.23957030
1.92009594,-0.08822901,0.29291670
1.93342994,-0.13232830,0.29291670
1.94676393,-0.13232830,0.31070890
1.96009793,-0.18527790,0.30182810
1.97343193,-0.11468860,0.31070890
1.98676593,-0.15881830,0.29291670
2.00009993,-0.15881830,0.29291670
2.01343393,-0.17645800,0.28403580
2.02676793,-0.15881830,0.30182810
2.04010193,-0.17645800,0.30182810
2.05343593,-0.16763820,0.31070890
2.06676993,-0.16763820,0.31958980
2.08010393,-0.15881830,0.31070890
2.09343793,-0.17645800,0.31070890
2.10677193,-0.18527790,0.31958980
2.12010593,-0.10586870,0.33738210
2.13343993,-0.14999850,0.32850120
2.14677393,-0.17645800,0.32850120
2.16010793,-0.14117860,0.32850120
2.17344193,-0.21176790,0.30182810
2.18677593,-0.17645800,0.33738210
2.20010993,-0.16763820,0.32850120
2.21344393,-0.19409770,0.31958980
2.22677793,-0.17645800,0.34629350
2.24011192,-0.21176790,0.32850120
2.25344592,-0.23822750,0.31070890
2.26677992,-0.19409770,0.34629350
2.28011392,-0.19409770,0.33738210
2.29344792,-0.27350690,0.31070890
2.30678192,-0.21176790,0.33738210
2.32011592,-0.17645800,0.33738210
2.33344992,-0.16763820,0.35517440
2.34678392,-0.17645800,0.36405530
2.36011792,-0.17645800,0.35517440
2.37345192,-0.21176790,0.32850120
2.38678592,-0.19409770,0.35517440
2.40011992,-0.25586720,0.32850120
2.41345392,-0.22940760,0.32850120
2.42678792,-0.21176790,0.35517440
2.44012192,-0.22058780,0.33738210
2.45345592,-0.22940760,0.32850120
2.46678992,-0.20291760,0.35517440
2.48012392,-0.16763820,0.36405530
2.49345792,-0.22058780,0.33738210
2.50679192,-0.21176790,0.34629350
2.52012592,-0.21176790,0.34629350
2.53345991,-0.22940760,0.32850120
2.54679391,-0.18527790,0.35517440
2.56012791,-0.16763820,0.35517440
2.57346191,-0.21176790,0.33738210
2.58679591,-0.19409770,0.34629350
2.60012991,-0.19409770,0.35517440
2.61346391,-0.18527790,0.35517440
2.62679791,-0.22058780,0.34629350
2.64013191,-0.11468860,0.38184760
2.65346591,-0.21176790,0.33738210
2.66679991,-0.17645800,0.37296670
2.68013391,-0.22940760,0.32850120
2.69346791,-0.22058780,0.30182810
2.70680191,-0.14999850,0.32850120
2.72013591,-0.25586720,0.27512440
2.73346991,-0.21176790,0.28403580
2.74680391,-0.21176790,0.28403580
2.76013791,-0.23822750,0.25736260
2.77347191,-0.16763820,0.28403580
2.78680591,-0.16763820,0.29291670
2.80013991,-0.24704730,0.25736260
2.81347391,-0.22940760,0.25736260
2.82680790,-0.17645800,0.28403580
2.84014190,-0.18527790,0.27512440
2.85347590,-0.21176790,0.25736260
2.86680990,-0.18527790,0.27512440
2.88014390,-0.24704730,0.24845120
2.89347790,-0.20291760,0.25736260
2.90681190,-0.15881830,0.27512440
2.92014590,-0.24704730,0.23957030
2.93347990,-0.23822750,0.22177800
2.94681390,-0.25586720,0.23065890
2.96014790,-0.22940760,0.23957030
2.97348190,-0.23822750,0.23065890
2.98681590,-0.21176790,0.25736260
3.00014990,-0.19409770,0.24845120
3.01348390,-0.25586720,0.21289710
3.02681790,-0.19409770,0.25736260
3.04015190,-0.24704730,0.22177800
3.05348590,-0.24704730,0.21289710
3.06681990,-0.18527790,0.24845120
3.08015390,-0.22058780,0.23957030
3.09348790,-0.21176790,0.22177800
3.10682190,-0.22940760,0.22177800
3.12015590,-0.21176790,0.23065890
