Time,Channel A,Channel B
(s),(V),(V)

0.00000000,0.02645955,0.45298620
0.01333400,0.02645955,0.46189760
0.02666800,0.14999850,0.36405530
0.04000200,0.01763970,0.41743220
0.05333600,0.02645955,0.45298620
0.06667000,0.04409925,0.45298620
0.08000400,0.00000000,0.41743220
0.09333800,0.05291910,0.47077850
0.10667200,0.03527940,0.46189760
0.12000600,0.02645955,0.44410540
0.13334000,0.03527940,0.46189760
0.14667400,0.04409925,0.47077850
0.16000799,0.01763970,0.43519400
0.17334199,0.03527940,0.46189760
0.18667599,0.03527940,0.46189760
0.20000999,0.00000000,0.43519400
0.21334399,0.01763970,0.45298620
0.22667799,0.03527940,0.47077850
0.24001199,0.00881985,0.43519400
0.25334599,0.03527940,0.47077850
0.26667999,0.04409925,0.47077850
0.28001399,0.00881985,0.43519400
0.29334799,0.03527940,0.46189760
0.30668199,0.04409925,0.47077850
0.32001599,0.03527940,0.47077850
0.33334999,0.03527940,0.46189760
0.34668399,0.04409925,0.47965940
0.36001799,0.01763970,0.44410540
0.37335199,0.03527940,0.47077850
0.38668599,0.03527940,0.47077850
0.40001999,0.01763970,0.45298620
0.41335399,0.04409925,0.47965940
0.42668799,0.05291910,0.48857080
0.44002199,0.01763970,0.45298620
0.45335598,0.03527940,0.46189760
0.46668998,0.03527940,0.47077850
0.48002398,0.00881985,0.44410540
0.49335798,0.05291910,0.48857080
0.50669198,0.03527940,0.47965940
0.52002598,0.01763970,0.46189760
0.53335998,0.04409925,0.47965940
0.54669398,0.03527940,0.47077850
0.56002798,0.01763970,0.45298620
0.57336198,0.02645955,0.46189760
0.58669598,0.01763970,0.45298620
0.60002998,0.03527940,0.47077850
0.61336398,0.00881985,0.44410540
0.62669798,0.02645955,0.47077850
0.64003198,0.00000000,0.45298620
0.65336598,0.02645955,0.47965940
0.66669998,0.01763970,0.46189760
0.68003398,0.00881985,0.45298620
0.69336798,0.02645955,0.47965940
0.70670198,0.01763970,0.46189760
0.72003598,0.00881985,0.45298620
0.73336998,0.01763970,0.47077850
0.74670397,0.02645955,0.47965940
0.76003797,0.00881985,0.45298620
0.77337197,0.02645955,0.47077850
0.78670597,0.01763970,0.46189760
0.80003997,0.00000000,0.45298620
0.81337397,0.03527940,0.48857080
0.82670797,0.01763970,0.47077850
0.84004197,0.00000000,0.45298620
0.85337597,0.00000000,0.44410540
0.86670997,0.01763970,0.47077850
0.88004397,0.00881985,0.45298620
0.89337797,0.00881985,0.46189760
0.90671197,0.03527940,0.47965940
0.92004597,-0.02645955,0.41743220
0.93337997,-0.00881985,0.43519400
0.94671397,0.02645955,0.47077850
0.96004797,0.00000000,0.43519400
0.97338197,0.00881985,0.44410540
0.98671597,0.01763970,0.46189760
1.00004997,0.00000000,0.42631310
1.01338397,0.00000000,0.42631310
1.02671797,0.02645955,0.44410540
1.04005197,0.00000000,0.40852080
1.05338596,0.01763970,0.42631310
1.06671996,0.01763970,0.41743220
1.08005396,0.00000000,0.39075900
1.09338796,0.01763970,0.39963990
1.10672196,0.01763970,0.40852080
1.12005596,-0.00881985,0.38184760
1.13338996,0.00881985,0.39075900
