Time,Channel A,Channel B
(s),(V),(V)

0.00000000,-0.09704886,0.21289710
0.00666700,-0.07940916,0.23065890
0.01333400,-0.18527790,0.32850120
0.02000100,-0.07940916,0.36405530
0.02666800,-0.08822901,0.34629350
0.03333500,-0.08822901,0.32850120
0.04000200,-0.06173895,0.36405530
0.04666900,-0.06173895,0.36405530
0.05333600,-0.08822901,0.31958980
0.06000300,-0.07940916,0.33738210
0.06667000,-0.07940916,0.32850120
0.07333700,-0.07940916,0.31958980
0.08000400,-0.07058931,0.32850120
0.08667100,-0.05291910,0.33738210
0.09333800,-0.07058931,0.31958980
0.10000500,-0.04409925,0.33738210
0.10667200,-0.04409925,0.33738210
0.11333900,-0.07058931,0.31070890
0.12000600,-0.05291910,0.31958980
0.12667300,-0.07058931,0.30182810
0.13334000,-0.06173895,0.31070890
0.14000700,-0.04409925,0.32850120
0.14667400,-0.03527940,0.33738210
0.15334099,-0.06173895,0.30182810
0.16000799,-0.04409925,0.31958980
0.16667499,-0.05291910,0.31070890
0.17334199,-0.07058931,0.30182810
0.18000899,-0.04409925,0.31958980
0.18667599,-0.06173895,0.30182810
0.19334299,-0.06173895,0.29291670
0.20000999,-0.04409925,0.31070890
0.20667699,-0.04409925,0.30182810
0.21334399,-0.05291910,0.29291670
0.22001099,-0.04409925,0.30182810
0.22667799,-0.03527940,0.31070890
0.23334499,-0.06173895,0.28403580
0.24001199,-0.04409925,0.29291670
0.24667899,-0.05291910,0.28403580
0.25334599,-0.07058931,0.27512440
0.26001299,-0.05291910,0.29291670
0.26667999,-0.04409925,0.29291670
0.27334699,-0.06173895,0.27512440
0.28001399,-0.05291910,0.29291670
0.28668099,-0.04409925,0.30182810
0.29334799,-0.08822901,0.25736260
0.30001499,-0.04409925,0.29291670
0.30668199,-0.04409925,0.29291670
0.31334899,-0.05291910,0.27512440
0.32001599,-0.05291910,0.28403580
0.32668299,-0.07058931,0.25736260
0.33334999,-0.07940916,0.24845120
0.34001699,-0.05291910,0.27512440
0.34668399,-0.04409925,0.29291670
0.35335099,-0.06173895,0.25736260
0.36001799,-0.05291910,0.26624350
0.36668499,-0.07058931,0.25736260
0.37335199,-0.07058931,0.24845120
0.38001899,-0.05291910,0.26624350
0.38668599,-0.06173895,0.25736260
0.39335299,-0.07940916,0.23957030
0.40001999,-0.06173895,0.25736260
0.40668699,-0.05291910,0.26624350
0.41335399,-0.06173895,0.24845120
0.42002099,-0.07058931,0.24845120
0.42668799,-0.05291910,0.26624350
0.43335499,-0.07940916,0.23065890
0.44002199,-0.07058931,0.25736260
0.44668898,-0.07940916,0.23065890
0.45335598,-0.07940916,0.22177800
0.46002298,-0.06173895,0.24845120
0.46668998,-0.07058931,0.23957030
0.47335698,-0.09704886,0.21289710
0.48002398,-0.07058931,0.23957030
0.48669098,-0.07940916,0.22177800
0.49335798,-0.08822901,0.22177800
0.50002498,-0.07058931,0.23065890
0.50669198,-0.07058931,0.23957030
0.51335898,-0.07940916,0.23065890
0.52002598,-0.07058931,0.23957030
0.52669298,-0.09704886,0.20398570
0.53335998,-0.10586870,0.20398570
0.54002698,-0.08822901,0.22177800
