Time,Channel A,Channel B
(s),(V),(V)

0.00000000,-0.22940760,0.45298620
0.00333400,-0.23822750,0.44410540
0.00666800,-0.20291760,0.47965940
0.01000200,-0.22058780,0.46189760
0.01333600,-0.24704730,0.43519400
0.01667000,-0.25586720,0.43519400
0.02000400,-0.26468700,0.41743220
0.02333800,-0.22940760,0.46189760
0.02667200,-0.22940760,0.46189760
0.03000600,-0.23822750,0.46189760
0.03334000,-0.25586720,0.44410540
0.03667400,-0.25586720,0.43519400
0.04000800,-0.24704730,0.46189760
0.04334200,-0.25586720,0.45298620
0.04667600,-0.24704730,0.45298620
0.05001000,-0.24704730,0.46189760
0.05334400,-0.23822750,0.47077850
0.05667800,-0.25586720,0.46189760
0.06001200,-0.28235720,0.42631310
0.06334600,-0.28235720,0.43519400
0.06668000,-0.26468700,0.45298620
0.07001400,-0.24704730,0.47077850
0.07334800,-0.25586720,0.46189760
0.07668200,-0.28235720,0.43519400
0.08001600,-0.27350690,0.46189760
0.08335000,-0.28235720,0.45298620
0.08668400,-0.26468700,0.46189760
0.09001800,-0.27350690,0.47077850
0.09335200,-0.29117710,0.44410540
0.09668600,-0.29117710,0.44410540
0.10002000,-0.31763660,0.43519400
0.10335400,-0.29117710,0.46189760
0.10668800,-0.29117710,0.46189760
0.11002200,-0.28235720,0.46189760
0.11335600,-0.29117710,0.46189760
0.11669000,-0.30881680,0.45298620
0.12002400,-0.31763660,0.44410540
0.12335800,-0.31763660,0.43519400
0.12669200,-0.29999690,0.46189760
0.13002600,-0.30881680,0.46189760
0.13336000,-0.31763660,0.46189760
0.13669400,-0.33527630,0.44410540
0.14002800,-0.33527630,0.43519400
0.14336200,-0.30881680,0.47077850
0.14669600,-0.30881680,0.47077850
0.15003000,-0.30881680,0.47077850
0.15336400,-0.32645650,0.45298620
0.15669800,-0.33527630,0.44410540
0.16003200,-0.33527630,0.45298620
0.16336600,-0.33527630,0.45298620
0.16670000,-0.34409620,0.43519400
0.17003400,-0.31763660,0.47077850
0.17336800,-0.31763660,0.47077850
0.17670200,-0.33527630,0.45298620
0.18003600,-0.35294650,0.43519400
0.18337000,-0.34409620,0.45298620
0.18670400,-0.33527630,0.46189760
0.19003800,-0.33527630,0.46189760
0.19337200,-0.31763660,0.47077850
0.19670600,-0.35294650,0.44410540
0.20004000,-0.37058620,0.42631310
0.20337400,-0.35294650,0.44410540
0.20670800,-0.32645650,0.47077850
0.21004200,-0.33527630,0.46189760
0.21337600,-0.32645650,0.47077850
0.21671000,-0.36176640,0.43519400
0.22004400,-0.36176640,0.43519400
0.22337800,-0.34409620,0.47077850
0.22671200,-0.34409620,0.46189760
0.23004600,-0.33527630,0.47077850
0.23338000,-0.34409620,0.47077850
0.23671400,-0.34409620,0.45298620
0.24004800,-0.35294650,0.45298620
0.24338200,-0.33527630,0.47077850
0.24671600,-0.35294650,0.45298620
0.25005000,-0.32645650,0.47965940
0.25338400,-0.33527630,0.47077850
0.25671800,-0.35294650,0.45298620
0.26005200,-0.36176640,0.45298620
0.26338600,-0.36176640,0.45298620
0.26672000,-0.35294650,0.45298620
0.27005400,-0.34409620,0.46189760
